time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-04-27 05:00:00,63067.71,62796.94,63023.3,516.21,32491940.36,62955.86,direct,
2024-04-27 06:00:00,63095.18,62838.55,62955.86,426.86,26872121.35,62989.23,direct,
2024-04-27 07:00:00,63115.81,62919.05,62989.23,311.17,19615837.31,62938.77,direct,
2024-04-27 08:00:00,63026.25,62896.79,62938.77,235.67,14842170.04,62989.12,direct,
2024-04-27 09:00:00,63022.55,62850.28,62989.12,207.1,13032316.99,62949.45,direct,
2024-04-27 10:00:00,62956.27,62706.77,62949.45,247.44,15551826.97,62765.11,direct,
2024-04-27 11:00:00,62907.63,62652.34,62765.11,283.88,17826924.62,62830.27,direct,
2024-04-27 12:00:00,63127.92,62780.59,62830.27,411.9,25948637.94,63008.29,direct,
2024-04-27 13:00:00,63229.09,62974.71,63008.29,383.55,24211921.03,63191.99,direct,
2024-04-27 14:00:00,63383.49,63043.0,63191.99,522.23,33032534.75,63103.3,direct,
2024-04-27 15:00:00,63173.53,62833.57,63103.3,789.99,49732717.03,62922.12,direct,
2024-04-27 16:00:00,63072.75,62726.32,62922.12,519.23,32661196.08,62728.93,direct,
2024-04-27 17:00:00,63596.32,62723.98,62728.93,851.1,53741452.34,63382.87,direct,
2024-04-27 18:00:00,63556.72,62825.53,63382.87,751.44,47494072.48,63294.72,direct,
2024-04-27 19:00:00,63357.1,63159.53,63294.72,275.2,17412868.83,63328.16,direct,
2024-04-27 20:00:00,63425.18,63138.8,63328.16,309.64,19586467.61,63248.67,direct,
2024-04-27 21:00:00,63323.94,63132.78,63248.67,193.64,12241820.11,63258.72,direct,
2024-04-27 22:00:00,63436.61,63209.9,63258.72,381.89,24180299.1,63233.69,direct,
2024-04-27 23:00:00,63523.95,63232.5,63233.69,305.9,19401597.53,63434.44,direct,
2024-04-28 00:00:00,63707.42,63432.36,63434.44,359.16,22822445.07,63586.63,direct,
2024-04-28 01:00:00,63662.66,63496.63,63586.63,239.77,15242891.44,63576.46,direct,
2024-04-28 02:00:00,64003.02,63530.94,63576.46,400.96,25568656.62,63923.33,direct,
2024-04-28 03:00:00,64335.08,63918.06,63923.33,815.31,52265645.77,64015.68,direct,
2024-04-28 04:00:00,64035.83,63819.01,64015.68,322.06,20585751.08,63830.1,direct,
2024-04-28 05:00:00,63958.82,63791.12,63830.1,251.64,16065435.26,63930.17,direct,
2024-04-28 06:00:00,63988.29,63783.63,63930.17,306.28,19564889.45,63950.1,direct,
2024-04-28 07:00:00,64031.0,63884.65,63950.1,241.46,15436786.13,63900.13,direct,
2024-04-28 08:00:00,63955.44,63645.47,63900.13,324.81,20720135.89,63683.87,direct,
2024-04-28 09:00:00,63792.93,63653.47,63683.87,239.15,15241078.01,63729.31,direct,
2024-04-28 10:00:00,63768.48,63348.21,63729.31,499.64,31756528.51,63670.61,direct,
2024-04-28 11:00:00,63683.4,63378.51,63670.61,600.95,38176114.07,63459.25,direct,
2024-04-28 12:00:00,63638.65,63402.19,63459.25,424.12,26950296.99,63568.6,direct,
2024-04-28 13:00:00,63834.54,63520.07,63568.6,392.67,25018784.3,63754.21,direct,
2024-04-28 14:00:00,63759.1,63479.62,63754.21,437.43,27822629.02,63584.51,direct,
2024-04-28 15:00:00,63626.07,63448.41,63584.51,246.89,15684241.47,63526.76,direct,
2024-04-28 16:00:00,63775.3,63476.85,63526.76,429.38,27319156.84,63689.57,direct,
2024-04-28 17:00:00,63788.49,63559.16,63689.57,304.34,19377202.92,63751.59,direct,
2024-04-28 18:00:00,63955.23,63681.5,63751.59,346.98,22142654.37,63911.26,direct,
2024-04-28 19:00:00,63916.14,63699.16,63911.26,244.3,15582390.83,63711.94,direct,
2024-04-28 20:00:00,63727.4,63570.52,63711.94,259.48,16511666.83,63664.27,direct,
2024-04-28 21:00:00,63713.62,63587.87,63664.27,264.17,16813802.67,63651.95,direct,
2024-04-28 22:00:00,63696.92,62894.59,63651.95,1214.73,76859451.09,63132.77,direct,
2024-04-28 23:00:00,63152.07,62769.01,63132.77,938.94,59099919.63,63111.34,direct,
2024-04-29 00:00:00,63302.64,62993.0,63111.34,451.85,28559935.63,63248.13,direct,
2024-04-29 01:00:00,63342.47,63075.14,63248.13,387.02,24458431.26,63220.59,direct,
2024-04-29 02:00:00,63271.18,62576.64,63220.59,720.62,45313321.71,62703.45,direct,
2024-04-29 03:00:00,62750.71,62209.05,62703.45,987.43,61714159.76,62277.31,direct,
2024-04-29 04:00:00,62632.54,62199.12,62277.31,685.84,42841442.54,62536.53,direct,
2024-04-29 05:00:00,62536.58,62060.79,62536.53,665.28,41451164.67,62445.94,direct,
2024-04-29 06:00:00,62463.57,61940.46,62445.94,881.01,54774125.63,62195.88,direct,
2024-04-29 07:00:00,62414.42,61945.38,62195.88,1082.85,67342612.98,62396.01,direct,
2024-04-29 08:00:00,62493.27,62223.26,62396.01,492.43,30703410.06,62405.54,direct,
2024-04-29 09:00:00,62650.34,62278.84,62405.54,561.16,35010892.41,62527.35,direct,
2024-04-29 10:00:00,62675.39,62387.2,62527.35,526.89,32942821.16,62390.64,direct,
2024-04-29 11:00:00,62419.19,62175.9,62390.64,531.19,33096025.05,62252.67,direct,
2024-04-29 12:00:00,62633.22,62052.04,62252.67,1133.39,70685646.65,62586.96,direct,
2024-04-29 13:00:00,62669.3,61768.51,62586.96,1736.32,107973010.25,62003.36,direct,
2024-04-29 14:00:00,62996.78,61880.57,62003.36,2076.03,129786739.96,62841.86,direct,
2024-04-29 15:00:00,63103.92,62742.54,62841.86,1363.96,85800050.24,63043.69,direct,
2024-04-29 16:00:00,63155.34,62761.13,63043.69,1075.44,67698491.1,62797.05,direct,
2024-04-29 17:00:00,63217.14,62781.7,62797.05,912.5,57502240.15,63023.8,direct,
2024-04-29 18:00:00,63042.8,62704.67,63023.8,836.05,52553495.9,62855.08,direct,
2024-04-29 19:00:00,62975.93,62528.58,62855.08,1370.32,85940040.95,62966.08,direct,
2024-04-29 20:00:00,63125.85,62873.83,62966.08,544.91,34334756.42,62955.47,direct,
2024-04-29 21:00:00,63146.18,62815.43,62955.47,326.76,20576503.53,63076.94,direct,
2024-04-29 22:00:00,63917.26,63029.56,63076.94,1279.57,81367555.78,63867.64,direct,
2024-04-29 23:00:00,64192.54,63796.87,63867.64,1221.04,78130186.38,63847.54,direct,
2024-04-30 00:00:00,64721.13,63693.03,63847.54,1409.64,90627386.92,64560.84,direct,
2024-04-30 01:00:00,64586.45,63578.51,64560.84,1042.04,66854231.41,63589.49,direct,
2024-04-30 02:00:00,63867.85,63108.46,63589.49,1168.54,74140301.96,63768.43,direct,
2024-04-30 03:00:00,63792.8,63547.43,63768.43,341.42,21732485.65,63634.38,direct,
2024-04-30 04:00:00,63692.66,63352.0,63634.38,369.27,23463848.01,63395.02,direct,
2024-04-30 05:00:00,63481.89,63077.36,63395.02,498.06,31512984.88,63317.37,direct,
2024-04-30 06:00:00,63455.87,63232.04,63317.37,366.01,23186386.7,63402.61,direct,
2024-04-30 07:00:00,63443.6,63141.4,63402.61,425.11,26916065.22,63149.29,direct,
2024-04-30 08:00:00,63241.87,61821.34,63149.29,2363.32,147624344.42,61908.52,direct,
2024-04-30 09:00:00,62118.64,61600.02,61908.52,1547.9,95738200.03,61669.92,direct,
2024-04-30 10:00:00,61770.61,61455.92,61669.92,1231.34,75920048.07,61764.82,direct,
2024-04-30 11:00:00,61764.85,61016.19,61764.82,1924.1,118021347.0,61196.73,direct,
2024-04-30 12:00:00,61298.44,60743.37,61196.73,2126.29,129895482.64,61213.55,direct,
2024-04-30 13:00:00,61289.43,60767.08,61213.55,2172.77,132722768.6,60799.21,direct,
2024-04-30 14:00:00,61522.23,60521.63,60799.21,3107.31,189327969.11,61216.28,direct,
2024-04-30 15:00:00,61363.87,60557.48,61216.28,2297.9,139841382.07,60748.18,direct,
2024-04-30 16:00:00,60848.18,60130.02,60748.18,2930.01,177021139.13,60306.06,direct,
